CPT,FLEX,FLEX,FLEX,FLEX,FLEX,Budget,FPPG
Cooper Kupp(19546107),Matt Gay(19546071),Matthew Stafford(19546055),Sony Michel(19546076),Tyler Lockett(19546057),Van Jefferson Jr.(19546066),49800.0,110.745
Cooper Kupp(19546107),Alex Collins(19546073),Darrell Henderson Jr.(19546058),Matt Gay(19546071),Matthew Stafford(19546055),Van Jefferson Jr.(19546066),50000.0,110.345
Matthew Stafford(19546109),Cooper Kupp(19546053),Matt Gay(19546071),Penny Hart(19546081),Russell Wilson(19546054),Van Jefferson Jr.(19546066),49900.0,109.76
Cooper Kupp(19546107),Matt Gay(19546071),Matthew Stafford(19546055),Travis Homer(19546077),Tyler Lockett(19546057),Van Jefferson Jr.(19546066),49000.0,109.715
Matthew Stafford(19546109),Cooper Kupp(19546053),Jake Funk(19546082),Matt Gay(19546071),Russell Wilson(19546054),Van Jefferson Jr.(19546066),49900.0,109.49
Matthew Stafford(19546109),Cooper Kupp(19546053),Matt Gay(19546071),Sony Michel(19546076),Tyler Lockett(19546057),Van Jefferson Jr.(19546066),49300.0,109.47
Van Jefferson Jr.(19546120),Cooper Kupp(19546053),Darrell Henderson Jr.(19546058),Matthew Stafford(19546055),Travis Homer(19546077),Tyler Lockett(19546057),50000.0,108.34
Matt Gay(19546125),Cooper Kupp(19546053),Darrell Henderson Jr.(19546058),DeeJay Dallas(19546078),Matthew Stafford(19546055),Russell Wilson(19546054),50000.0,107.265
Matt Gay(19546125),Cooper Kupp(19546053),Darrell Henderson Jr.(19546058),Johnny Mundt(19546079),Matthew Stafford(19546055),Russell Wilson(19546054),49800.0,107.245
Cooper Kupp(19546107),Darrell Henderson Jr.(19546058),DeeJay Dallas(19546078),Russell Wilson(19546054),Travis Homer(19546077),Tyler Lockett(19546057),50000.0,103.105
Cooper Kupp(19546107),Darrell Henderson Jr.(19546058),Johnny Mundt(19546079),Russell Wilson(19546054),Travis Homer(19546077),Tyler Lockett(19546057),49800.0,103.085
Cooper Kupp(19546107),Alex Collins(19546073),DK Metcalf(19546056),Freddie Swain(19546067),Robert Woods(19546059),Tyler Higbee(19546065),49800.0,93.925
Matthew Stafford(19546109),DK Metcalf(19546056),DeSean Jackson(19546068),Freddie Swain(19546067),Robert Woods(19546059),Tyler Higbee(19546065),49500.0,91.15
Matthew Stafford(19546109),Alex Collins(19546073),DK Metcalf(19546056),Freddie Swain(19546067),Robert Woods(19546059),Tyler Higbee(19546065),48300.0,90.1
Matthew Stafford(19546109),DK Metcalf(19546056),Freddie Swain(19546067),Jason Myers(19546072),Robert Woods(19546059),Tyler Higbee(19546065),48500.0,88.98
Russell Wilson(19546108),Alex Collins(19546073),DK Metcalf(19546056),Freddie Swain(19546067),Robert Woods(19546059),Tyler Higbee(19546065),48900.0,87.91
Russell Wilson(19546108),DK Metcalf(19546056),Freddie Swain(19546067),Jason Myers(19546072),Robert Woods(19546059),Tyler Higbee(19546065),49100.0,86.79
Russell Wilson(19546108),Alex Collins(19546073),DeSean Jackson(19546068),Jason Myers(19546072),Rams (19546074),Seahawks (19546075),34500.0,62.0
Russell Wilson(19546108),Alex Collins(19546073),DeSean Jackson(19546068),Jason Myers(19546072),Rams (19546074),Sony Michel(19546076),33500.0,61.95
Russell Wilson(19546108),DeSean Jackson(19546068),Jason Myers(19546072),Rams (19546074),Seahawks (19546075),Sony Michel(19546076),33100.0,59.58
